Ticker,AAPL,MSFT,GOOG,META,NVDA,AMZN,TSLA,NFLX,JPM,XOM,UNH,BA
AAPL,1.0,0.12090247993738075,0.4138969763350273,0.14133802886224156,0.21354815407093047,0.41917664086194556,0.3536411368779447,0.22238521863963578,0.09637136082740658,-0.06559791710532825,0.11911534882595624,0.12666945765189702
MSFT,0.12090247993738075,1.0,0.2298206760130738,0.6059277014080285,0.38505754663411873,0.3575226802096477,0.22887817726802662,0.15713697052988,0.4466929375185978,0.09006066375463524,-0.10278196638457512,0.0861860142781493
GOOG,0.4138969763350273,0.2298206760130738,1.0,0.1440228330598384,0.17587834091415758,0.2795100739361922,0.3182660410632852,0.2500864281047882,0.2978219375134712,-0.07172500395883605,0.1357091225800723,0.06721612295209688
META,0.14133802886224156,0.6059277014080285,0.1440228330598384,1.0,0.2547080035262698,0.4971373648702288,0.12950226742823268,0.1619067765732184,0.23037494381510945,-0.015939791568192484,-0.02760306916414419,0.12970495839122217
NVDA,0.21354815407093047,0.38505754663411873,0.17587834091415758,0.2547080035262698,1.0,0.34134477159780785,0.20084596139152716,0.23556856262080966,0.4061516690103915,-0.04869378603084844,0.10720689018246934,0.15346038793729186
AMZN,0.41917664086194556,0.3575226802096477,0.2795100739361922,0.4971373648702288,0.34134477159780785,1.0,0.2253360043404443,0.2951973404584293,0.33984151193012396,0.20304198500601903,0.17292838908816588,0.1727785096299241
TSLA,0.3536411368779447,0.22887817726802662,0.3182660410632852,0.12950226742823268,0.20084596139152716,0.2253360043404443,1.0,0.017079888329104273,0.3064720896332589,0.004109084697231788,0.18904908007948576,0.15257364732651413
NFLX,0.22238521863963578,0.15713697052988,0.2500864281047882,0.1619067765732184,0.23556856262080966,0.2951973404584293,0.017079888329104273,1.0,0.19769490764154887,-0.06781583375551054,0.06496321175841392,0.19964040453115714
JPM,0.09637136082740658,0.4466929375185978,0.2978219375134712,0.23037494381510945,0.4061516690103915,0.33984151193012396,0.3064720896332589,0.19769490764154887,1.0,0.39270896810340605,0.16587380989117437,0.18150373430802663
XOM,-0.06559791710532825,0.09006066375463524,-0.07172500395883605,-0.015939791568192484,-0.04869378603084844,0.20304198500601903,0.004109084697231788,-0.06781583375551054,0.39270896810340605,1.0,0.08979617017423558,0.28631441553437137
UNH,0.11911534882595624,-0.10278196638457512,0.1357091225800723,-0.02760306916414419,0.10720689018246934,0.17292838908816588,0.18904908007948576,0.06496321175841392,0.16587380989117437,0.08979617017423558,1.0,0.33571224220509566
BA,0.12666945765189702,0.0861860142781493,0.06721612295209688,0.12970495839122217,0.15346038793729186,0.1727785096299241,0.15257364732651413,0.19964040453115714,0.18150373430802663,0.28631441553437137,0.33571224220509566,1.0
