u,v,corr
SPY,QQQ,0.9517986073162358
V,MA,0.8398920774827859
BAC,WFC,0.7971654746907173
SPY,IWM,0.7906508345041565
NVDA,QQQ,0.7648539432947575
MSFT,QQQ,0.7557673957590137
AVGO,QQQ,0.753683171802604
AMZN,QQQ,0.7516111180330755
T,VZ,0.7428621557771141
AMAT,QQQ,0.727811914384046
JPM,BAC,0.7209714660375771
MSFT,SPY,0.7203765852893492
JPM,WFC,0.7189115452098582
AMZN,SPY,0.7151044671312372
QCOM,AMAT,0.7141411606745623
QCOM,QQQ,0.7103228736510141
META,QQQ,0.7031829832419244
CAT,IWM,0.6994240525023198
QQQ,IWM,0.6812373476826573
NVDA,SPY,0.6770864804084614
AMD,QQQ,0.6737885950021736
QCOM,SPY,0.6720507939997663
AMAT,SPY,0.6607709178882494
AMZN,META,0.6563297231391692
NVDA,AVGO,0.6512752379922239
META,SPY,0.6504937447077491
MSFT,AMZN,0.6489380093843597
GOOGL,QQQ,0.6487944031427147
AVGO,SPY,0.6466604256334051
BAC,IWM,0.6463256425664408
AVGO,AMAT,0.6456650860704067
CAT,SPY,0.6304517385237747
MSFT,META,0.629435320960914
PEP,KO,0.6256904870879704
NVDA,AMAT,0.6206569417589975
AVGO,QCOM,0.6143752976691202
AMD,AMAT,0.6114775300813504
AAPL,SPY,0.6053100858189691
GOOGL,SPY,0.6047644719764605
AMD,SPY,0.6041381702587649
AAPL,QQQ,0.6034719944009462
