u,v,dist,corr
MA,V,0.5378042337008635,0.8553833031067135
AMZN,META,0.8108364613341498,0.671272116485557
AMZN,MSFT,0.8505376817533407,0.6382928259588265
KO,PEP,0.8943133685273976,0.6001017994365896
AMZN,GOOGL,0.9304379107808769,0.5671426470908585
KO,PG,0.9307784296968965,0.5668257574054898
MSFT,NVDA,0.9562961437560492,0.5427488427186549
AAPL,AMZN,0.9926270587249646,0.5073457611435128
JPM,V,1.0023613611940632,0.4976358507925924
NVDA,ORCL,1.0408871084498332,0.4582770137314726
MSFT,NFLX,1.0486653256607934,0.45015051737837103
AAPL,TSLA,1.0496044221118428,0.44916527854163224
AAPL,MA,1.0732846390398543,0.4240300418005448
HD,MA,1.102288990556156,0.3924794906493454
AMZN,INTC,1.1152741927988457,0.37808173743844153
MA,WMT,1.1153398040516718,0.37800856074898925
JPM,XOM,1.1232957230567167,0.36910335928124394
MA,PG,1.1653683875466692,0.32095826065343824
UNH,V,1.2972108132108693,0.15862205304439755
