prob_decile,mean,std,count
0,0.0005812580790579998,0.024238110807169973,63
1,0.0023275524064546933,0.014724887603420079,63
2,-0.0038128916283777345,0.02033334916942426,62
3,0.000752200995629822,0.014791577913267262,63
4,0.0017369615561962119,0.016886064055794837,62
5,-0.0003074898925325922,0.017397624797064838,63
6,0.0026708123966524304,0.015022583729351712,62
7,0.003332714079498958,0.01205491839873205,63
8,0.0017385512094396506,0.016469590859372905,62
9,0.004474179201559469,0.021602594938707448,63
