fold,roc_auc,pr_auc,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,model
1,0.4925355283523287,0.6265526485749511,0.50799760164901,0.04529177929556053,0.6598475439979568,0.019841352540203566,logreg_baseline
2,0.582089847615278,0.6611650011668277,0.50799760164901,0.04529177929556053,0.6598475439979568,0.019841352540203566,logreg_baseline
3,0.4813270538080424,0.6634915919219768,0.50799760164901,0.04529177929556053,0.6598475439979568,0.019841352540203566,logreg_baseline
4,0.5170639219934995,0.6790023118772996,0.50799760164901,0.04529177929556053,0.6598475439979568,0.019841352540203566,logreg_baseline
5,0.46697165647590144,0.6690261664487287,0.50799760164901,0.04529177929556053,0.6598475439979568,0.019841352540203566,logreg_baseline
1,0.4925355283523287,0.6265109582177373,0.5031784076229917,0.033276517742501656,0.6532051044446131,0.02471563388353164,logreg_inverse_freq
2,0.5462827363282539,0.6272979123989234,0.5031784076229917,0.033276517742501656,0.6532051044446131,0.02471563388353164,logreg_inverse_freq
3,0.4811182163843761,0.6634254501420941,0.5031784076229917,0.033276517742501656,0.6532051044446131,0.02471563388353164,logreg_inverse_freq
4,0.528939911659305,0.6797416487390635,0.5031784076229917,0.033276517742501656,0.6532051044446131,0.02471563388353164,logreg_inverse_freq
5,0.46701564539069484,0.6690495527252471,0.5031784076229917,0.033276517742501656,0.6532051044446131,0.02471563388353164,logreg_inverse_freq
1,0.4492225974391445,0.6094348043064537,0.47848880666864,0.018058866861403296,0.6419300476250627,0.04367346222348418,gbm_focal_style
2,0.49361435450887264,0.5843210964296217,0.47848880666864,0.018058866861403296,0.6419300476250627,0.04367346222348418,gbm_focal_style
3,0.47739514921073856,0.6577500331254276,0.47848880666864,0.018058866861403296,0.6419300476250627,0.04367346222348418,gbm_focal_style
4,0.49324596494152284,0.6679949386162256,0.47848880666864,0.018058866861403296,0.6419300476250627,0.04367346222348418,gbm_focal_style
5,0.4789659672429215,0.6901493656475849,0.47848880666864,0.018058866861403296,0.6419300476250627,0.04367346222348418,gbm_focal_style
