feature,C=0.01,C=0.02,C=0.05,C=0.1,C=0.25,C=0.5,C=1.0,C=2.0,C=5.0
close,0.0,0.0,0.0,0.0014299611023305982,0.017188986759290967,0.019924188520119245,0.020953822557790387,0.021470183550338938,0.021781416909123188
ret,0.0,0.0,-0.009462413712149826,-0.02199326835398594,-0.03791139664356861,-0.07189144091555472,-0.0949813316410826,-0.10659221593793287,-0.11357758936966218
r1,0.0,0.0,0.0,0.0,-0.008652466327406527,-0.016404956490428613,-0.020523342757600857,-0.02258923488352029,-0.02383192340102955
r5,0.0,0.0,0.0,0.0,-0.003614925148831694,-0.019700567968309473,-0.027742971961059425,-0.03177790010953979,-0.03420493460037574
r20,0.0,0.0,0.0,0.0,0.0,-0.06597826802369144,-0.1223560723969255,-0.15070200737484576,-0.16774517158401983
vol_10,0.0,0.0,0.0,0.0,0.05903771943710262,0.11388229957163395,0.14264443987360892,0.1570929193965866,0.16578352168967336
vol_20,0.0,0.0,0.0,0.0,-0.04907134086246898,-0.10634031929641122,-0.13703454945732318,-0.15244746504692935,-0.16171912482573308
mom_20,0.0,0.0,0.0,0.00817780179862992,0.07407517828176044,0.16361720552885423,0.23022617572416693,0.2637169054044503,0.28385691635066046
bb_pos_20,0.0,0.0,0.0,0.0,0.05146685059857311,0.12050615021434322,0.15430017047726646,0.17122389244020456,0.1813963429192303
rsi_14,0.0,0.0,-0.0439613142288293,-0.06371504006257912,-0.15712366739590844,-0.22263579633404118,-0.2533083398426363,-0.26867046903005193,-0.27790742607268
